-54,-56,-64,-52,-54,-64,-56,-53,-51,-57
-59,-51,-57,-54,-59,-50,-57,-52,-60,-54
-58,-52,-73,-57,-53,-57,-51,-55,-52,-54
-59,-56,-58,-53,-53,-59,-51,-50,-49,-56
-55,-55,-55,-53,-60,-51,-56,-53,-52,-52
-57,-52,-55,-55,-61,-55,-56,-50,-54,-54
-56,-57,-54,-54,-57,-58,-56,-55,-63,-57
-49,-56,-55,-56,-57,-58,-56,-53,-56,-54
-54,-56,-57,-51,-55,-60,-52,-54,-57,-57
-54,-56,-55,-52,-54,-50,-56,-51,-56,-53
-49,-52,-56,-54,-61,-52,-56,-50,-57,-55
-49,-57,-51,-54,-63,-59,-56,-50,-49,-52
-52,-52,-54,-52,-55,-58,-52,-56,-52,-52
-53,-58,-53,-54,-62,-52,-51,-50,-52,-53
-53,-57,-52,-52,-56,-58,-51,-54,-52,-54
-49,-52,-52,-54,-66,-54,-56,-52,-54,-57
-55,-57,-55,-54,-55,-55,-56,-55,-52,-55
-54,-56,-54,-54,-52,-52,-56,-55,-50,-54
-49,-57,-61,-54,-54,-55,-56,-54,-49,-53
-54,-57,-54,-50,-55,-56,-56,-54,-54,-54
-55,-57,-52,-56,-55,-56,-56,-57,-52,-58
-49,-57,-56,-52,-53,-52,-51,-55,-55,-53
-50,-59,-54,-53,-51,-55,-57,-49,-56,-60
-53,-51,-55,-57,-56,-56,-51,-51,-53,-52
-53,-51,-55,-56,-50,-57,-57,-50,-57,-54
-55,-51,-57,-55,-50,-52,-57,-52,-57,-55
-56,-56,-54,-55,-54,-52,-56,-56,-52,-58
-55,-56,-54,-52,-63,-58,-56,-55,-52,-55
-54,-57,-54,-55,-50,-56,-56,-51,-53,-43
-54,-51,-56,-58,-53,-56,-50,-54,-54,-57
-55,-56,-56,-57,-50,-51,-51,-55,-54,-56
-56,-56,-53,-56,-50,-56,-56,-55,-56,-56
-49,-56,-52,-56,-50,-54,-57,-50,-51,-56
-49,-57,-54,-56,-51,-56,-51,-57,-54,-56
-54,-52,-56,-56,-55,-57,-57,-61,-51,-56
-55,-57,-55,-52,-52,-57,-57,-64,-52,-57
-55,-51,-52,-52,-46,-56,-57,-53,-50,-56
-54,-57,-56,-56,-49,-57,-56,-54,-52,-56
-53,-51,-52,-51,-50,-56,-56,-62,-56,-56
-71,-56,-56,-52,-50,-56,-56,-58,-51,-57
-55,-57,-53,-57,-55,-56,-51,-63,-51,-55
-53,-52,-54,-57,-50,-56,-51,-56,-55,-55
-55,-57,-54,-58,-52,-50,-56,-56,-54,-55
-49,-57,-62,-55,-52,-56,-56,-55,-50,-55
-54,-57,-54,-55,-52,-51,-55,-51,-54,-55
-55,-56,-56,-51,-50,-56,-57,-63,-50,-56
-54,-52,-57,-53,-50,-51,-57,-57,-51,-54
-50,-57,-54,-53,-52,-56,-56,-50,-50,-56
-49,-57,-55,-55,-50,-51,-55,-50,-56,-54
-56,-57,-63,-54,-55,-50,-56,-57,-52,-56
-49,-57,-54,-56,-50,-57,-57,-50,-50,-55
-51,-52,-56,-56,-52,-57,-59,-50,-50,-55
-49,-56,-56,-55,-54,-56,-57,-50,-50,-55
-55,-57,-50,-52,-50,-50,-52,-56,-56,-54
-53,-58,-54,-54,-54,-57,-57,-56,-51,-54
-55,-51,-56,-52,-50,-56,-52,-56,-56,-55
-49,-50,-52,-50,-55,-52,-51,-52,-57,-54
-53,-51,-52,-51,-55,-58,-56,-55,-52,-55
-49,-57,-50,-57,-50,-57,-55,-54,-52,-57
-64,-69,-59,-56,-61,-62,-60,-68,-57,-65
-59,-58,-75,-68,-59,-66,-59,-61,-57,-64
-61,-59,-69,-66,-64,-62,-58,-67,-58,-65
-59,-60,-58,-65,-63,-64,-62,-62,-58,-71
-58,-58,-62,-79,-56,-64,-62,-57,-58,-68
-59,-63,-63,-65,-60,-63,-57,-67,-55,-62
-58,-61,-57,-57,-57,-61,-61,-60,-59,-66
-58,-58,-69,-57,-58,-62,-58,-70,-57,-60
-58,-67,-60,-66,-60,-64,-58,-69,-57,-60
-68,-58,-64,-57,-58,-65,-65,-61,-74,-60
-67,-61,-61,-65,-58,-62,-59,-69,-62,-76
-68,-60,-72,-56,-63,-63,-69,-60,-58,-62
-59,-63,-60,-60,-66,-62,-68,-65,-64,-60
-65,-68,-61,-59,-59,-64,-57,-68,-61,-60
-59,-62,-61,-65,-61,-62,-57,-61,-63,-58
-58,-68,-61,-58,-58,-62,-61,-66,-59,-79
-63,-68,-65,-56,-69,-67,-58,-68,-59,-58
-58,-69,-62,-57,-57,-63,-67,-58,-58,-69
-58,-64,-64,-63,-60,-63,-59,-57,-59,-61
