-63,-57,-55,-55,-63,-57,-59,-60,-61,-61,-63,-59,-69,-73,-79
-59,-53,-56,-54,-54,-70,-59,-59,-58,-63,-60,-70,-68,-63,-77
-57,-57,-51,-56,-55,-76,-64,-60,-62,-62,-63,-69,-67,-72,-66
-58,-52,-55,-55,-56,-61,-63,-66,-76,-71,-63,-59,-58,-73,-76
-53,-51,-51,-50,-58,-71,-64,-59,-60,-65,-64,-68,-60,-63,-69
-51,-57,-60,-54,-59,-77,-63,-57,-64,-62,-64,-59,-58,-61,-62
-55,-57,-56,-54,-56,-79,-59,-58,-73,-68,-65,-69,-64,-69,-70
-55,-52,-56,-52,-58,-77,-60,-68,-63,-68,-65,-67,-68,-71,-76
-54,-52,-55,-55,-55,-75,-64,-68,-76,-68,-64,-67,-60,-66,-71
-58,-56,-56,-50,-53,-62,-64,-72,-59,-70,-62,-67,-59,-66,-74
-59,-52,-56,-55,-57,-66,-60,-76,-62,-76,-63,-69,-75,-64,-72
-48,-56,-56,-57,-59,-62,-60,-57,-59,-65,-71,-60,-62,-69,-66
-55,-56,-56,-55,-54,-63,-63,-55,-57,-72,-66,-67,-74,-62,-66
-53,-51,-59,-55,-60,-62,-63,-69,-59,-65,-62,-59,-61,-70,-66
-54,-52,-54,-52,-60,-64,-59,-66,-58,-61,-62,-68,-62,-74,-67
-54,-56,-64,-52,-54,-60,-59,-57,-72,-72,-62,-68,-64,-68,-82
-59,-51,-57,-54,-59,-64,-64,-68,-58,-78,-63,-58,-60,-74,-67
-58,-52,-73,-57,-53,-63,-60,-56,-62,-60,-66,-67,-69,-67,-66
-59,-56,-58,-53,-53,-60,-67,-66,-70,-62,-65,-68,-67,-63,-67
-55,-55,-55,-53,-60,-69,-65,-56,-60,-69,-64,-67,-60,-67,-74
-57,-52,-55,-55,-61,-61,-66,-65,-59,-69,-64,-60,-58,-69,-66
-56,-57,-54,-54,-57,-60,-68,-58,-59,-70,-65,-68,-58,-69,-66
-49,-56,-55,-56,-57,-66,-59,-59,-72,-62,-62,-59,-60,-67,-65
-54,-56,-57,-51,-55,-66,-59,-59,-60,-62,-66,-68,-69,-74,-60
-54,-56,-55,-52,-54,-59,-68,-60,-69,-71,-62,-68,-70,-65,-63
-49,-52,-56,-54,-61,-62,-60,-68,-57,-62,-59,-70,-59,-68,-71
-49,-57,-51,-54,-63,-65,-68,-57,-68,-64,-60,-68,-60,-65,-60
-52,-52,-54,-52,-55,-63,-68,-63,-57,-64,-60,-68,-60,-63,-66
-53,-58,-53,-54,-62,-66,-60,-60,-68,-65,-59,-59,-66,-65,-68
-53,-57,-52,-52,-56,-62,-67,-57,-56,-69,-59,-59,-83,-65,-68
-49,-52,-52,-54,-66,-66,-65,-57,-73,-70,-70,-69,-68,-68,-61
-55,-57,-55,-54,-55,-64,-66,-75,-60,-68,-59,-68,-69,-65,-64
-54,-56,-54,-54,-52,-66,-67,-70,-72,-71,-60,-68,-66,-63,-62
-49,-57,-61,-54,-54,-60,-64,-56,-61,-64,-60,-58,-68,-65,-79
-54,-57,-54,-50,-55,-60,-67,-57,-60,-62,-65,-59,-71,-61,-75
-55,-57,-52,-56,-55,-66,-66,-57,-63,-63,-70,-69,-62,-64,-64
-49,-57,-56,-52,-53,-68,-60,-57,-61,-63,-65,-58,-63,-62,-62
-50,-59,-54,-53,-51,-71,-66,-59,-72,-62,-71,-68,-63,-66,-64
-53,-51,-55,-57,-56,-63,-63,-71,-59,-74,-65,-69,-61,-64,-63
-53,-51,-55,-56,-50,-70,-59,-75,-59,-60,-69,-69,-74,-63,-63
-55,-51,-57,-55,-50,-70,-62,-56,-61,-60,-59,-58,-66,-67,-63
-56,-56,-54,-55,-54,-59,-65,-61,-72,-61,-68,-71,-66,-65,-61
-55,-56,-54,-52,-63,-61,-65,-59,-61,-72,-70,-67,-67,-68,-61
-54,-57,-54,-55,-50,-62,-61,-66,-71,-68,-65,-58,-62,-63,-63
-54,-51,-56,-58,-53,-58,-66,-59,-72,-61,-70,-68,-62,-63,-61
-55,-56,-56,-57,-50,-60,-60,-57,-71,-72,-58,-59,-68,-68,-75
-56,-56,-53,-56,-50,-72,-63,-57,-69,-73,-57,-58,-68,-62,-60
-49,-56,-52,-56,-50,-69,-63,-70,-60,-61,-64,-66,-66,-64,-64
-49,-57,-54,-56,-51,-62,-62,-55,-59,-64,-57,-68,-68,-65,-62
-54,-52,-56,-56,-55,-69,-61,-56,-59,-66,-65,-69,-65,-62,-63
-55,-57,-55,-52,-52,-70,-58,-75,-58,-73,-67,-69,-79,-62,-64
-55,-51,-52,-52,-46,-70,-62,-70,-70,-61,-58,-58,-69,-66,-63
-54,-57,-56,-56,-49,-59,-62,-61,-61,-64,-66,-58,-79,-64,-70
-53,-51,-52,-51,-50,-63,-59,-58,-62,-62,-68,-58,-63,-67,-64
-71,-56,-56,-52,-50,-68,-59,-59,-60,-72,-66,-57,-69,-63,-77
-55,-57,-53,-57,-55,-68,-61,-59,-62,-64,-67,-58,-60,-67,-75
-53,-52,-54,-57,-50,-64,-59,-58,-66,-61,-65,-72,-76,-67,-61
