layer1,layer2,actFunc,learning,mse,mae
90,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,2.1460347175598145,1.0385310649871826
60,100,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,2.203785896301269,0.892777681350708
90,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,2.272068977355957,0.8519185185432434
90,120,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,2.28672456741333,1.1022528409957886
100,100,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,2.298694610595703,1.037545919418335
90,100,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,2.300254344940185,0.9969973564147948
50,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,2.3822426795959477,1.1358792781829834
100,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,2.422214984893799,0.8764932155609131
70,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,2.62894344329834,1.1961517333984375
100,60,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,2.6437158584594727,1.1381999254226685
70,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,2.741124391555786,1.2412493228912354
90,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,2.798729419708252,1.1579015254974363
50,100,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,2.8846640586853027,1.2485791444778442
60,120,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,2.8953042030334477,1.222095251083374
100,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,2.899157762527466,1.222950100898743
100,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,2.9470131397247314,1.2349767684936523
90,110,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,3.242931842803955,1.1611820459365845
80,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,3.335606098175049,1.375784397125244
70,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,3.7256712913513184,1.561633825302124
60,70,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,3.796104907989502,1.451405048370361
50,90,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,4.028156280517578,1.6110780239105225
50,120,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,4.071874141693115,1.6083563566207886
70,80,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,4.311803340911865,1.68467378616333
60,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,4.475497245788574,1.72287917137146
70,120,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,4.711128234863281,1.748202562332153
80,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,4.913392543792725,1.8146660327911377
70,50,<class 'torch.nn.modules.activation.Sigmoid'>,0.003,9.490273475646973,2.5798583030700684
