erroX,erroY,CoordX,CoordY
-0.1260961294174194,-0.3516818284988403,2.0,2.0
-0.0529836416244506,0.022371768951416,2.0,2.0
0.5759263038635254,0.0340230464935302,2.0,2.0
-0.0949128866195678,-0.0124317407608032,2.0,2.0
-0.0657269954681396,0.1725885868072509,2.0,2.0
-0.1014837026596069,-0.0108897686004638,2.0,2.0
-0.0880221128463745,-0.0168386697769165,2.0,2.0
0.4193840026855469,0.0452797412872314,2.0,2.0
-0.0800596475601196,-0.0094543695449829,2.0,2.0
-0.2008043527603149,0.3652665615081787,2.0,2.0
-0.3990405797958374,2.4498744010925293,2.0,2.0
-0.0682581663131713,-0.1030548810958862,2.0,2.0
-0.4388629198074341,1.0445373058319092,2.0,2.0
1.5878267288208008,1.2890863418579102,2.0,2.0
-0.1074191331863403,0.0779504776000976,2.0,2.0
-0.0654877424240112,-0.1553715467453003,2.0,2.0
-0.1212855577468872,-0.0479282140731811,2.0,2.0
-0.1923291683197021,0.0149881839752197,2.0,2.0
-0.0829153060913086,-0.0364336967468261,2.0,2.0
-0.1053537130355835,0.0758397579193115,2.0,2.0
-0.0915369987487793,-0.0079891681671142,2.0,2.0
-0.0744361877441406,0.1454522609710693,2.0,2.0
-0.0989795923233032,-0.0492953062057495,2.0,2.0
-0.0906834602355957,-0.0126651525497436,2.0,2.0
-0.1109901666641235,-0.047650933265686,2.0,2.0
-0.045265793800354,-0.0692381858825683,2.0,2.0
-0.152323842048645,-0.086749792098999,2.0,2.0
-0.0833621025085449,-0.0733376741409301,2.0,2.0
-0.0892648696899414,0.3243076801300049,2.0,2.0
-0.0281518697738647,-0.0088380575180053,2.0,2.0
-0.143389344215393,0.0251073837280273,2.0,2.0
-0.0724005699157714,-0.0182089805603027,2.0,2.0
-0.101978063583374,-0.0057908296585083,2.0,2.0
-0.1933604478836059,-0.0023589134216308,2.0,2.0
-0.0770497322082519,-0.019721508026123,2.0,2.0
-0.1024969816207885,-0.059819221496582,2.0,2.0
-0.0619081258773803,0.0012063980102539,2.0,2.0
-0.1434986591339111,-0.0529063940048217,2.0,2.0
-0.0958986282348632,0.0328311920166015,2.0,2.0
-0.0654575824737548,-0.0127004384994506,2.0,2.0
1.1249845027923584,1.613168239593506,2.0,2.0
-0.0786365270614624,-0.0143109560012817,2.0,2.0
-0.1048952341079711,0.0057530403137207,2.0,2.0
-0.1001620292663574,0.0095539093017578,2.0,2.0
0.0563414096832275,-0.187942624092102,2.0,2.0
-0.1051081418991088,-0.140132188796997,2.0,2.0
-0.0673182010650634,-0.0095003843307495,2.0,2.0
-0.1508218050003051,-0.0375233888626098,2.0,2.0
-0.1256164312362671,-0.0018665790557861,2.0,2.0
-0.1342709064483642,-0.0849597454071044,2.0,2.0
